elementwise_feature,metric,base_feature,space,dimension
euc_elem_2347,euclidean,dim_2347,CC,2347
euc_elem_1619,euclidean,dim_1619,CC,1619
cos_elem_3151,cosine,dim_3151,CC,3151
euc_elem_1596,euclidean,dim_1596,CC,1596
cos_elem_3157,cosine,dim_3157,CC,3157
euc_elem_2471,euclidean,dim_2471,CC,2471
euc_elem_2487,euclidean,dim_2487,CC,2487
euc_elem_1507,euclidean,dim_1507,CC,1507
euc_elem_1511,euclidean,dim_1511,CC,1511
euc_elem_1488,euclidean,dim_1488,CC,1488
euc_elem_2737,euclidean,dim_2737,CC,2737
euc_elem_77,euclidean,dim_77,CC,77
cos_elem_1386,cosine,dim_1386,CC,1386
euc_elem_1556,euclidean,dim_1556,CC,1556
euc_elem_1544,euclidean,dim_1544,CC,1544
euc_elem_1147,euclidean,dim_1147,CC,1147
cos_elem_406,cosine,dim_406,CC,406
cos_elem_383,cosine,dim_383,CC,383
cos_elem_2824,cosine,dim_2824,CC,2824
cos_elem_779,cosine,dim_779,CC,779
euc_elem_752,euclidean,dim_752,CC,752
cos_elem_2887,cosine,dim_2887,CC,2887
cos_elem_2852,cosine,dim_2852,CC,2852
euc_elem_2175,euclidean,dim_2175,CC,2175
cos_elem_436,cosine,dim_436,CC,436
cos_elem_1493,cosine,dim_1493,CC,1493
cos_elem_1561,cosine,dim_1561,CC,1561
cos_elem_1547,cosine,dim_1547,CC,1547
cos_elem_1521,cosine,dim_1521,CC,1521
cos_elem_2778,cosine,dim_2778,CC,2778
euc_elem_1289,euclidean,dim_1289,CC,1289
cos_elem_781,cosine,dim_781,CC,781
euc_elem_21,euclidean,dim_21,CC,21
euc_elem_22,euclidean,dim_22,CC,22
euc_elem_1561,euclidean,dim_1561,CC,1561
cos_elem_1420,cosine,dim_1420,CC,1420
euc_elem_2944,euclidean,dim_2944,CC,2944
euc_elem_2925,euclidean,dim_2925,CC,2925
euc_elem_3133,euclidean,dim_3133,CC,3133
euc_elem_3199,euclidean,dim_3199,CC,3199
cos_elem_22,cosine,dim_22,CC,22
euc_elem_3130,euclidean,dim_3130,CC,3130
euc_elem_298,euclidean,dim_298,CC,298
euc_elem_388,euclidean,dim_388,CC,388
euc_elem_383,euclidean,dim_383,CC,383
euc_elem_371,euclidean,dim_371,CC,371
euc_elem_400,euclidean,dim_400,CC,400
euc_elem_401,euclidean,dim_401,CC,401
euc_elem_1435,euclidean,dim_1435,CC,1435
euc_elem_316,euclidean,dim_316,CC,316
cos_elem_1087,cosine,dim_1087,CC,1087
cos_elem_165,cosine,dim_165,CC,165
cos_elem_2457,cosine,dim_2457,CC,2457
euc_elem_968,euclidean,dim_968,CC,968
euc_elem_978,euclidean,dim_978,CC,978
cos_elem_1096,cosine,dim_1096,CC,1096
cos_elem_1039,cosine,dim_1039,CC,1039
euc_elem_1398,euclidean,dim_1398,CC,1398
cos_elem_84,cosine,dim_84,CC,84
cos_elem_2482,cosine,dim_2482,CC,2482
cos_elem_2471,cosine,dim_2471,CC,2471
euc_elem_1079,euclidean,dim_1079,CC,1079
euc_elem_2647,euclidean,dim_2647,CC,2647
cos_elem_2543,cosine,dim_2543,CC,2543
euc_elem_1049,euclidean,dim_1049,CC,1049
euc_elem_1032,euclidean,dim_1032,CC,1032
euc_elem_3121,euclidean,dim_3121,CC,3121
euc_elem_1053,euclidean,dim_1053,CC,1053
euc_elem_1056,euclidean,dim_1056,CC,1056
euc_elem_1905,euclidean,dim_1905,CC,1905
cos_elem_2516,cosine,dim_2516,CC,2516
euc_elem_1936,euclidean,dim_1936,CC,1936
euc_elem_1919,euclidean,dim_1919,CC,1919
euc_elem_1080,euclidean,dim_1080,CC,1080
euc_elem_1082,euclidean,dim_1082,CC,1082
euc_elem_2656,euclidean,dim_2656,CC,2656
cos_elem_1053,cosine,dim_1053,CC,1053
cos_elem_1056,cosine,dim_1056,CC,1056
cos_elem_77,cosine,dim_77,CC,77
euc_elem_3118,euclidean,dim_3118,CC,3118
euc_elem_1025,euclidean,dim_1025,CC,1025
cos_elem_2538,cosine,dim_2538,CC,2538
cos_elem_133,cosine,dim_133,CC,133
cos_elem_85,cosine,dim_85,CC,85
cos_elem_57,cosine,dim_57,CC,57
cos_elem_171,cosine,dim_171,CC,171
cos_elem_63,cosine,dim_63,CC,63
euc_elem_1885,euclidean,dim_1885,CC,1885
cos_elem_2580,cosine,dim_2580,CC,2580
euc_elem_1882,euclidean,dim_1882,CC,1882
