elementwise_feature,metric,base_feature,space,dimension
cos_elem_1875,cosine,dim_1875,CC,1875
cos_elem_2326,cosine,dim_2326,CC,2326
euc_elem_1434,euclidean,dim_1434,CC,1434
cos_elem_655,cosine,dim_655,CC,655
euc_elem_1486,euclidean,dim_1486,CC,1486
euc_elem_2710,euclidean,dim_2710,CC,2710
cos_elem_698,cosine,dim_698,CC,698
cos_elem_2799,cosine,dim_2799,CC,2799
euc_elem_2725,euclidean,dim_2725,CC,2725
euc_elem_2904,euclidean,dim_2904,CC,2904
euc_elem_1078,euclidean,dim_1078,CC,1078
euc_elem_672,euclidean,dim_672,CC,672
euc_elem_144,euclidean,dim_144,CC,144
euc_elem_133,euclidean,dim_133,CC,133
euc_elem_1327,euclidean,dim_1327,CC,1327
euc_elem_2302,euclidean,dim_2302,CC,2302
euc_elem_2715,euclidean,dim_2715,CC,2715
euc_elem_1769,euclidean,dim_1769,CC,1769
euc_elem_1329,euclidean,dim_1329,CC,1329
euc_elem_1301,euclidean,dim_1301,CC,1301
cos_elem_1850,cosine,dim_1850,CC,1850
cos_elem_1759,cosine,dim_1759,CC,1759
euc_elem_1933,euclidean,dim_1933,CC,1933
euc_elem_2743,euclidean,dim_2743,CC,2743
euc_elem_16,euclidean,dim_16,CC,16
cos_elem_1922,cosine,dim_1922,CC,1922
euc_elem_1495,euclidean,dim_1495,CC,1495
euc_elem_1560,euclidean,dim_1560,CC,1560
euc_elem_1335,euclidean,dim_1335,CC,1335
cos_elem_3067,cosine,dim_3067,CC,3067
euc_elem_1071,euclidean,dim_1071,CC,1071
cos_elem_1516,cosine,dim_1516,CC,1516
euc_elem_2461,euclidean,dim_2461,CC,2461
euc_elem_1459,euclidean,dim_1459,CC,1459
euc_elem_845,euclidean,dim_845,CC,845
euc_elem_2632,euclidean,dim_2632,CC,2632
euc_elem_3021,euclidean,dim_3021,CC,3021
euc_elem_1970,euclidean,dim_1970,CC,1970
euc_elem_2697,euclidean,dim_2697,CC,2697
euc_elem_246,euclidean,dim_246,CC,246
cos_elem_1048,cosine,dim_1048,CC,1048
cos_elem_958,cosine,dim_958,CC,958
euc_elem_1075,euclidean,dim_1075,CC,1075
euc_elem_2434,euclidean,dim_2434,CC,2434
cos_elem_2516,cosine,dim_2516,CC,2516
euc_elem_1539,euclidean,dim_1539,CC,1539
cos_elem_428,cosine,dim_428,CC,428
cos_elem_418,cosine,dim_418,CC,418
euc_elem_2688,euclidean,dim_2688,CC,2688
euc_elem_3145,euclidean,dim_3145,CC,3145
cos_elem_2093,cosine,dim_2093,CC,2093
euc_elem_367,euclidean,dim_367,CC,367
euc_elem_3300,euclidean,s_100,S,100
cos_elem_176,cosine,dim_176,CC,176
cos_elem_1073,cosine,dim_1073,CC,1073
cos_elem_445,cosine,dim_445,CC,445
cos_elem_922,cosine,dim_922,CC,922
euc_elem_10,euclidean,dim_10,CC,10
euc_elem_2840,euclidean,dim_2840,CC,2840
euc_elem_1521,euclidean,dim_1521,CC,1521
euc_elem_3327,euclidean,s_127,S,127
euc_elem_401,euclidean,dim_401,CC,401
euc_elem_413,euclidean,dim_413,CC,413
euc_elem_3190,euclidean,dim_3190,CC,3190
euc_elem_1722,euclidean,dim_1722,CC,1722
euc_elem_3116,euclidean,dim_3116,CC,3116
euc_elem_3186,euclidean,dim_3186,CC,3186
cos_elem_2019,cosine,dim_2019,CC,2019
cos_elem_2617,cosine,dim_2617,CC,2617
cos_elem_2642,cosine,dim_2642,CC,2642
cos_elem_1321,cosine,dim_1321,CC,1321
cos_elem_2663,cosine,dim_2663,CC,2663
cos_elem_2671,cosine,dim_2671,CC,2671
euc_elem_1236,euclidean,dim_1236,CC,1236
cos_elem_102,cosine,dim_102,CC,102
euc_elem_392,euclidean,dim_392,CC,392
euc_elem_381,euclidean,dim_381,CC,381
euc_elem_334,euclidean,dim_334,CC,334
cos_elem_16,cosine,dim_16,CC,16
cos_elem_15,cosine,dim_15,CC,15
euc_elem_1542,euclidean,dim_1542,CC,1542
euc_elem_1531,euclidean,dim_1531,CC,1531
euc_elem_2855,euclidean,dim_2855,CC,2855
cos_elem_933,cosine,dim_933,CC,933
euc_elem_2521,euclidean,dim_2521,CC,2521
euc_elem_973,euclidean,dim_973,CC,973
euc_elem_982,euclidean,dim_982,CC,982
cos_elem_982,cosine,dim_982,CC,982
euc_elem_2496,euclidean,dim_2496,CC,2496
cos_elem_2024,cosine,dim_2024,CC,2024
cos_elem_2090,cosine,dim_2090,CC,2090
cos_elem_2082,cosine,dim_2082,CC,2082
euc_elem_1660,euclidean,dim_1660,CC,1660
euc_elem_1670,euclidean,dim_1670,CC,1670
cos_elem_143,cosine,dim_143,CC,143
cos_elem_50,cosine,dim_50,CC,50
euc_elem_3277,euclidean,s_77,S,77
cos_elem_2050,cosine,dim_2050,CC,2050
cos_elem_2655,cosine,dim_2655,CC,2655
cos_elem_1284,cosine,dim_1284,CC,1284
euc_elem_2299,euclidean,dim_2299,CC,2299
cos_elem_1281,cosine,dim_1281,CC,1281
cos_elem_1265,cosine,dim_1265,CC,1265
cos_elem_2467,cosine,dim_2467,CC,2467
cos_elem_2521,cosine,dim_2521,CC,2521
cos_elem_2496,cosine,dim_2496,CC,2496
cos_elem_2499,cosine,dim_2499,CC,2499
cos_elem_1106,cosine,dim_1106,CC,1106
euc_elem_2894,euclidean,dim_2894,CC,2894
cos_elem_425,cosine,dim_425,CC,425
euc_elem_2021,euclidean,dim_2021,CC,2021
euc_elem_1456,euclidean,dim_1456,CC,1456
cos_elem_726,cosine,dim_726,CC,726
cos_elem_729,cosine,dim_729,CC,729
euc_elem_832,euclidean,dim_832,CC,832
cos_elem_3104,cosine,dim_3104,CC,3104
euc_elem_2636,euclidean,dim_2636,CC,2636
cos_elem_1931,cosine,dim_1931,CC,1931
cos_elem_2489,cosine,dim_2489,CC,2489
cos_elem_1456,cosine,dim_1456,CC,1456
cos_elem_1458,cosine,dim_1458,CC,1458
cos_elem_1489,cosine,dim_1489,CC,1489
euc_elem_189,euclidean,dim_189,CC,189
euc_elem_472,euclidean,dim_472,CC,472
euc_elem_2705,euclidean,dim_2705,CC,2705
cos_elem_673,cosine,dim_673,CC,673
euc_elem_1474,euclidean,dim_1474,CC,1474
euc_elem_1475,euclidean,dim_1475,CC,1475
cos_elem_1684,cosine,dim_1684,CC,1684
euc_elem_1570,euclidean,dim_1570,CC,1570
cos_elem_2181,cosine,dim_2181,CC,2181
cos_elem_2183,cosine,dim_2183,CC,2183
cos_elem_371,cosine,dim_371,CC,371
euc_elem_1057,euclidean,dim_1057,CC,1057
cos_elem_1035,cosine,dim_1035,CC,1035
euc_elem_2457,euclidean,dim_2457,CC,2457
euc_elem_1053,euclidean,dim_1053,CC,1053
cos_elem_1481,cosine,dim_1481,CC,1481
cos_elem_1490,cosine,dim_1490,CC,1490
euc_elem_2117,euclidean,dim_2117,CC,2117
euc_elem_2467,euclidean,dim_2467,CC,2467
cos_elem_1018,cosine,dim_1018,CC,1018
cos_elem_1004,cosine,dim_1004,CC,1004
cos_elem_995,cosine,dim_995,CC,995
euc_elem_857,euclidean,dim_857,CC,857
euc_elem_2676,euclidean,dim_2676,CC,2676
