original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_163,CC,Chemical Checker,163,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_164,CC,Chemical Checker,164,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_165,CC,Chemical Checker,165,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_166,CC,Chemical Checker,166,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_167,CC,Chemical Checker,167,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_168,CC,Chemical Checker,168,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_169,CC,Chemical Checker,169,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_170,CC,Chemical Checker,170,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_171,CC,Chemical Checker,171,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_172,CC,Chemical Checker,172,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_173,CC,Chemical Checker,173,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_174,CC,Chemical Checker,174,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_175,CC,Chemical Checker,175,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_176,CC,Chemical Checker,176,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_177,CC,Chemical Checker,177,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_178,CC,Chemical Checker,178,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_179,CC,Chemical Checker,179,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_180,CC,Chemical Checker,180,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_181,CC,Chemical Checker,181,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_182,CC,Chemical Checker,182,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_183,CC,Chemical Checker,183,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_184,CC,Chemical Checker,184,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_185,CC,Chemical Checker,185,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_186,CC,Chemical Checker,186,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_187,CC,Chemical Checker,187,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_188,CC,Chemical Checker,188,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_189,CC,Chemical Checker,189,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_190,CC,Chemical Checker,190,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_191,CC,Chemical Checker,191,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_192,CC,Chemical Checker,192,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_193,CC,Chemical Checker,193,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_194,CC,Chemical Checker,194,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_195,CC,Chemical Checker,195,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_196,CC,Chemical Checker,196,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_197,CC,Chemical Checker,197,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_198,CC,Chemical Checker,198,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_199,CC,Chemical Checker,199,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_200,CC,Chemical Checker,200,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_201,CC,Chemical Checker,201,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_202,CC,Chemical Checker,202,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_203,CC,Chemical Checker,203,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_204,CC,Chemical Checker,204,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_205,CC,Chemical Checker,205,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_206,CC,Chemical Checker,206,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_207,CC,Chemical Checker,207,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_208,CC,Chemical Checker,208,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_209,CC,Chemical Checker,209,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_210,CC,Chemical Checker,210,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_211,CC,Chemical Checker,211,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_212,CC,Chemical Checker,212,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_213,CC,Chemical Checker,213,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_214,CC,Chemical Checker,214,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_215,CC,Chemical Checker,215,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_216,CC,Chemical Checker,216,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_217,CC,Chemical Checker,217,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_218,CC,Chemical Checker,218,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_219,CC,Chemical Checker,219,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_220,CC,Chemical Checker,220,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_221,CC,Chemical Checker,221,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_222,CC,Chemical Checker,222,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_223,CC,Chemical Checker,223,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_224,CC,Chemical Checker,224,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_225,CC,Chemical Checker,225,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_226,CC,Chemical Checker,226,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_227,CC,Chemical Checker,227,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_228,CC,Chemical Checker,228,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_229,CC,Chemical Checker,229,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_230,CC,Chemical Checker,230,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_231,CC,Chemical Checker,231,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_232,CC,Chemical Checker,232,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_233,CC,Chemical Checker,233,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_234,CC,Chemical Checker,234,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_235,CC,Chemical Checker,235,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_236,CC,Chemical Checker,236,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
