elementwise_feature,metric,base_feature,space,dimension
cos_elem_144,cosine,dim_144,CC,144
cos_elem_3152,cosine,dim_3152,CC,3152
cos_elem_457,cosine,dim_457,CC,457
euc_elem_382,euclidean,dim_382,CC,382
euc_elem_566,euclidean,dim_566,CC,566
cos_elem_2336,cosine,dim_2336,CC,2336
cos_elem_859,cosine,dim_859,CC,859
euc_elem_2747,euclidean,dim_2747,CC,2747
euc_elem_1580,euclidean,dim_1580,CC,1580
euc_elem_881,euclidean,dim_881,CC,881
euc_elem_60,euclidean,dim_60,CC,60
cos_elem_1287,cosine,dim_1287,CC,1287
cos_elem_2301,cosine,dim_2301,CC,2301
cos_elem_2312,cosine,dim_2312,CC,2312
euc_elem_917,euclidean,dim_917,CC,917
cos_elem_3303,cosine,s_103,S,103
cos_elem_1672,cosine,dim_1672,CC,1672
euc_elem_3027,euclidean,dim_3027,CC,3027
euc_elem_940,euclidean,dim_940,CC,940
cos_elem_2575,cosine,dim_2575,CC,2575
cos_elem_2550,cosine,dim_2550,CC,2550
cos_elem_2609,cosine,dim_2609,CC,2609
cos_elem_1214,cosine,dim_1214,CC,1214
euc_elem_2473,euclidean,dim_2473,CC,2473
euc_elem_1532,euclidean,dim_1532,CC,1532
cos_elem_1115,cosine,dim_1115,CC,1115
cos_elem_1746,cosine,dim_1746,CC,1746
euc_elem_2874,euclidean,dim_2874,CC,2874
cos_elem_2791,cosine,dim_2791,CC,2791
euc_elem_815,euclidean,dim_815,CC,815
euc_elem_880,euclidean,dim_880,CC,880
euc_elem_19,euclidean,dim_19,CC,19
cos_elem_2155,cosine,dim_2155,CC,2155
euc_elem_2704,euclidean,dim_2704,CC,2704
cos_elem_2311,cosine,dim_2311,CC,2311
cos_elem_2840,cosine,dim_2840,CC,2840
cos_elem_1021,cosine,dim_1021,CC,1021
cos_elem_322,cosine,dim_322,CC,322
euc_elem_2158,euclidean,dim_2158,CC,2158
euc_elem_2155,euclidean,dim_2155,CC,2155
euc_elem_2575,euclidean,dim_2575,CC,2575
cos_elem_330,cosine,dim_330,CC,330
euc_elem_836,euclidean,dim_836,CC,836
euc_elem_2136,euclidean,dim_2136,CC,2136
euc_elem_1742,euclidean,dim_1742,CC,1742
cos_elem_722,cosine,dim_722,CC,722
cos_elem_980,cosine,dim_980,CC,980
