Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
doxorubicin,puromycin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
doxorubicin,streptomycin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
cccp,doxorubicin,UGTJLJZQQFGTJD-UHFFFAOYSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
doxorubicin,spectinomycin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,UNFWWIHTNXNPBV-WXKVUWSESA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
doxorubicin,oritavancin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,VHFGEBVPHAGQPI-LXKZPTCJSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'VHFGEBVPHAGQPI-LXKZPTCJSA-N')"
chloramphenicol,doxorubicin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
polymyxin b,doxorubicin,WQVJHHACXVLGBL-BPJDFBQWSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
aztreonam,doxorubicin,WZPBZJONDBGPKJ-VEHQQRBSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
doxorubicin,novobiocin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,YJQPYGGHQPGBLI-KGSXXDOSSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
doxorubicin,fosfomycin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
doxorubicin,streptozotocin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'ZSJLQEPLLKMAKR-GKHCUFPYSA-N')"
auranofin,bacitracin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,CLKOFPXJLQSYAH-ABRJDSQDSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')"
auranofin,daptomycin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'DOAKLVKFURWEDJ-QCMAZARJSA-N')"
auranofin,cycloserine d,AUJRCFUBUPVWSZ-XTZHGVARSA-M,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')"
auranofin,cefuroxime,AUJRCFUBUPVWSZ-XTZHGVARSA-M,JFPVXVDWJQMJEE-IZRZKJBUSA-N,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'JFPVXVDWJQMJEE-IZRZKJBUSA-N')"
