elementwise_feature,metric,base_feature,space,dimension
euc_elem_2908,euclidean,dim_2908,CC,2908
cos_elem_919,cosine,dim_919,CC,919
cos_elem_3052,cosine,dim_3052,CC,3052
cos_elem_3303,cosine,s_103,S,103
euc_elem_2578,euclidean,dim_2578,CC,2578
euc_elem_2609,euclidean,dim_2609,CC,2609
euc_elem_1830,euclidean,dim_1830,CC,1830
cos_elem_1252,cosine,dim_1252,CC,1252
cos_elem_418,cosine,dim_418,CC,418
cos_elem_1679,cosine,dim_1679,CC,1679
cos_elem_2886,cosine,dim_2886,CC,2886
euc_elem_1316,euclidean,dim_1316,CC,1316
euc_elem_2513,euclidean,dim_2513,CC,2513
euc_elem_2279,euclidean,dim_2279,CC,2279
euc_elem_1810,euclidean,dim_1810,CC,1810
euc_elem_1458,euclidean,dim_1458,CC,1458
cos_elem_1278,cosine,dim_1278,CC,1278
euc_elem_1554,euclidean,dim_1554,CC,1554
euc_elem_3137,euclidean,dim_3137,CC,3137
euc_elem_1303,euclidean,dim_1303,CC,1303
euc_elem_2434,euclidean,dim_2434,CC,2434
euc_elem_2436,euclidean,dim_2436,CC,2436
euc_elem_2433,euclidean,dim_2433,CC,2433
cos_elem_2474,cosine,dim_2474,CC,2474
euc_elem_3145,euclidean,dim_3145,CC,3145
euc_elem_2941,euclidean,dim_2941,CC,2941
euc_elem_1225,euclidean,dim_1225,CC,1225
euc_elem_1211,euclidean,dim_1211,CC,1211
euc_elem_1736,euclidean,dim_1736,CC,1736
euc_elem_479,euclidean,dim_479,CC,479
cos_elem_967,cosine,dim_967,CC,967
euc_elem_488,euclidean,dim_488,CC,488
cos_elem_653,cosine,dim_653,CC,653
euc_elem_2184,euclidean,dim_2184,CC,2184
cos_elem_827,cosine,dim_827,CC,827
cos_elem_3197,cosine,dim_3197,CC,3197
cos_elem_3318,cosine,s_118,S,118
euc_elem_2347,euclidean,dim_2347,CC,2347
euc_elem_974,euclidean,dim_974,CC,974
euc_elem_735,euclidean,dim_735,CC,735
euc_elem_1912,euclidean,dim_1912,CC,1912
cos_elem_110,cosine,dim_110,CC,110
euc_elem_958,euclidean,dim_958,CC,958
euc_elem_643,euclidean,dim_643,CC,643
euc_elem_872,euclidean,dim_872,CC,872
euc_elem_870,euclidean,dim_870,CC,870
cos_elem_3227,cosine,s_27,S,27
euc_elem_1692,euclidean,dim_1692,CC,1692
cos_elem_2079,cosine,dim_2079,CC,2079
cos_elem_602,cosine,dim_602,CC,602
euc_elem_441,euclidean,dim_441,CC,441
