feature,importance_gain_mean,importance_gain_std
euc_elem_383,46.81317902803421,26.357839001196815
cos_elem_2903,46.64450867772102,19.898545341081917
euc_elem_2010,46.64074542075396,17.432476549870685
euc_elem_3137,46.4579509973526,31.443125193143718
euc_elem_2019,46.158660638332364,17.0891320154195
cos_elem_2676,46.145923846960066,10.98760059102619
cos_elem_2580,46.063001996278764,35.2596400342396
cos_elem_1679,45.953298807144165,11.117578421737075
euc_elem_1481,45.92527078390121,23.852280764007624
euc_elem_702,45.81745675802231,38.43408107990383
euc_elem_1269,45.61542164087295,13.511094206935768
euc_elem_1975,45.61503621339798,30.94896042478238
cos_elem_2875,45.52327678203583,26.355696643671557
cos_elem_705,45.39037053585052,31.593776533553136
euc_elem_1216,45.34456020444632,64.09141273095364
cos_elem_1732,45.061729717254636,47.51115675948217
euc_elem_2569,44.968575197458264,37.51935002441814
cos_elem_1202,44.91305122971535,33.77599562690211
euc_elem_675,44.85935636758804,44.05514360098578
euc_elem_1996,44.70176732689142,30.84330860944445
euc_elem_2274,44.69211099147797,35.64110671790585
euc_elem_2575,44.684574496746066,35.45557682421692
euc_elem_1802,44.59922997057438,21.416512887270297
cos_elem_1624,44.5701080262661,18.074214787192957
cos_elem_998,44.55461536645889,13.500092001096254
euc_elem_1458,44.444156885147095,35.50624498608754
euc_elem_394,44.17661112844944,24.36908442952245
euc_elem_3320,44.11715049147606,15.348478789861625
cos_elem_2287,44.112967300415036,23.481324289671957
euc_elem_2844,43.99375769793987,57.876472117450525
euc_elem_2746,43.952090847492215,16.36896123858606
euc_elem_2450,43.85373156070709,27.0521787802146
cos_elem_945,43.77586278617382,37.96622525737993
cos_elem_1863,43.64902492016554,25.399581823346537
euc_elem_2368,43.622371083498,12.503575664758033
cos_elem_294,43.499586367607115,24.761026380604353
euc_elem_883,43.449662733078,32.86717490185718
cos_elem_3107,43.420532098412515,48.084119534311846
euc_elem_1727,43.411458027362826,17.89722205815934
euc_elem_1570,43.27724956870079,15.638470323598552
euc_elem_2594,43.07445830702782,30.75804773758533
euc_elem_507,43.052949064970015,21.410197583644482
cos_elem_2311,43.04008638858795,31.12013310125672
euc_elem_1582,42.58176651597023,12.858509238819796
euc_elem_3305,42.55744666457176,25.71811394655142
euc_elem_434,42.543089526891706,25.316176183921574
cos_elem_3245,42.533307150006294,19.90128997179725
euc_elem_1174,42.50130634307861,28.102902776715773
euc_elem_127,42.39550899863243,23.255707932287397
cos_elem_1461,42.38745338320732,14.834405805870075
cos_elem_2183,42.33659090399742,19.736369322674463
euc_elem_2882,42.32894239425659,23.61327868304752
euc_elem_3000,42.273431313037875,5.483025091971579
euc_elem_2282,42.11915634274483,26.96427291978323
cos_elem_2511,42.11807191371918,35.99336636347262
euc_elem_2496,42.02776384353638,27.729607829882003
euc_elem_1395,41.97467213273048,21.459411507240663
euc_elem_3115,41.88901913166046,27.48135769886005
cos_elem_2209,41.741080144047736,25.696638230388558
cos_elem_2957,41.72201828658581,31.424849165931832
euc_elem_1912,41.66357371211052,9.96538852354174
euc_elem_1475,41.410325318574905,13.439468617105211
cos_elem_2069,41.048645281791686,30.8627580151616
cos_elem_2469,40.9907792031765,18.554229542592257
euc_elem_783,40.864216533303264,31.898992613752217
euc_elem_109,40.73352202773094,30.054746459809497
cos_elem_2794,40.638029812276365,7.733362663582139
cos_elem_204,40.54392674565315,22.247368325099316
euc_elem_2395,40.52686076164245,19.917532228455826
euc_elem_179,40.49083198010921,34.24384986602324
cos_elem_2866,40.47287210971117,31.33839943151811
cos_elem_775,40.47266638278961,39.2057071838164
euc_elem_988,40.30092396140098,33.93952510761095
euc_elem_2665,40.263625317811965,27.24126286976344
cos_elem_903,40.2185233682394,26.318160197085017
euc_elem_2069,40.0055000603199,12.50549179821396
cos_elem_1831,39.94268670678139,12.037602570060859
cos_elem_1274,39.93018571734429,13.706065777683573
cos_elem_1585,39.854406306147574,22.20198068356579
cos_elem_2731,39.630000525712965,17.680200389969446
cos_elem_1596,39.58419969975948,20.559064183096133
cos_elem_744,39.534668600559236,37.372697638963125
euc_elem_1659,39.474899804592134,19.143130621478974
cos_elem_1158,39.23847317099571,29.599965611450827
