Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
azithromycin,streptomycin,haemophilus ducreyi ro34,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
azithromycin,ceftriaxone,haemophilus ducreyi ro40,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,VAAUVRVFOQPIGI-SPQHTLEESA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'VAAUVRVFOQPIGI-SPQHTLEESA-N')"
azithromycin,streptomycin,haemophilus ducreyi ro40,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
azithromycin,gentamicin,neisseria gonorrhoeae,1.5,Indifferent,FICI,28876284,MQTOSJVFKKJCRP-BICOPXKESA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,nan,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
azithromycin,cefixime,neisseria gonorrhoeae,1.26,Indifferent,FICI,24468865,MQTOSJVFKKJCRP-BICOPXKESA-N,OKBVVJOGVLARMR-QSWIMTSFSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'OKBVVJOGVLARMR-QSWIMTSFSA-N')"
azithromycin,ceftriaxone,neisseria gonorrhoeae,1.25,Indifferent,FICI,24468865,MQTOSJVFKKJCRP-BICOPXKESA-N,VAAUVRVFOQPIGI-SPQHTLEESA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'VAAUVRVFOQPIGI-SPQHTLEESA-N')"
azlocillin,gentamicin,pseudomonas aeruginosa,1,Additivity,FICI,33582141,JTWOMNBEOCYFNV-NFFDBFGFSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,nan,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'JTWOMNBEOCYFNV-NFFDBFGFSA-N')"
azlocillin,ciprofloxacin,pseudomonas aeruginosa,0.38,Synergy,FICI,33582141,JTWOMNBEOCYFNV-NFFDBFGFSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('JTWOMNBEOCYFNV-NFFDBFGFSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
aztreonam,cefotaxime,enterobacter cloacae,0.04,Synergy,FICI,29800664,WZPBZJONDBGPKJ-VEHQQRBSSA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,nan,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
aztreonam,fusidic acid,escherichia coli bw25113,-0.99,Synergy,Loewe,26956793,WZPBZJONDBGPKJ-VEHQQRBSSA-N,IECPWNUMDGFDKC-MZJAQBGESA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
